order_received_at_local,provider_name,country,kitchen_id,brand,Total orders,# In Full noi,date
7.0,ubereats,MEX,20 ESMERALDA,Avocalia Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,52 MANACAR,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,01 DOCTORES,The Breakfast Club,1.0,1.0,46300.0
7.0,ubereats,MEX,37 CANEK,Brunch & Munch,1.0,1.0,46300.0
7.0,didi,MEX,25 TABACHINES,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,ubereats,MEX,23 SANTA CATARINA,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,41 VOLCANES,Órale Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,52 MANACAR,Brunch & Munch,1.0,1.0,46300.0
7.0,rappi,MEX,31 MONTEJO,Eggy by Chef Eva,1.0,1.0,46300.0
7.0,ubereats,MEX,15 LINDAVISTA,Desayunos de la Abuela,1.0,1.0,46300.0
7.0,ubereats,MEX,17 CUMBRES,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,ubereats,MEX,03 POLANCO,Órale Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,16 PEDREGAL,Brunch & Munch,1.0,1.0,46300.0
7.0,rappi,MEX,11 AZCAPOTZALCO,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,ubereats,MEX,16 PEDREGAL,Órale Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,19 LA CALMA,Avocalia Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,12 DEL VALLE,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,rappi,MEX,17 CUMBRES,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,01 DOCTORES,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,10 SAN JERONIMO,The Wrap Company MX,1.0,1.0,46300.0
7.0,ubereats,MEX,15 LINDAVISTA,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,06 SATELITE,Órale Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,02 SAN ANGEL,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,rappi,MEX,25 TABACHINES,Órale Desayunos,1.0,1.0,46300.0
7.0,rappi,MEX,22 SAN NICOLAS,Avocalia Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,34 TLAQUEPAQUE,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,ubereats,MEX,41 VOLCANES,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,10 SAN JERONIMO,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,41 VOLCANES,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,ubereats,MEX,21 SANTA TERESITA,Avocalia Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,16 PEDREGAL,Desayunos de la Abuela,1.0,1.0,46300.0
7.0,ubereats,MEX,03 POLANCO,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,05 COAPA,Órale Desayunos,1.0,1.0,46300.0
7.0,ubereats,MEX,06 SATELITE,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,10 SAN JERONIMO,Brunch & Munch,1.0,1.0,46300.0
7.0,rappi,MEX,31 MONTEJO,Eggy by Chef Eva,1.0,1.0,46300.0
7.0,ubereats,MEX,25 TABACHINES,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,rappi,MEX,23 SANTA CATARINA,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,15 LINDAVISTA,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,rappi,MEX,02 SAN ANGEL,Órale Desayunos,1.0,1.0,46300.0
7.0,rappi,MEX,06 SATELITE,Brunch & Munch,1.0,1.0,46300.0
7.0,didi,MEX,03 POLANCO,The Wrap Company MX,1.0,1.0,46300.0
7.0,ubereats,MEX,22 SAN NICOLAS,Brunch & Munch,1.0,1.0,46300.0
7.0,rappi,MEX,31 MONTEJO,Brunch & Munch,1.0,1.0,46300.0
7.0,didi,MEX,22 SAN NICOLAS,Órale Desayunos,1.0,1.0,46300.0
7.0,rappi,MEX,37 CANEK,LA PANQUEQUERIA,1.0,1.0,46300.0
7.0,ubereats,MEX,01 DOCTORES,Brunch & Munch,1.0,1.0,46300.0
7.0,ubereats,MEX,04 SANTA FE,Brunch & Munch,1.0,1.0,46300.0
