order_day,order_hour,kitchen_id,sku,name,item_type,is_combo,total_units,total_price_gross,country
46152.0,6.0,01 USAQUEN,1071.0,Salsa de Habanero (Picante),modifier,0,2.0,5800.0,COL
46152.0,6.0,01 USAQUEN,1090.0,Jugo De Mandarina,principal,0,1.0,10900.0,COL
46152.0,6.0,01 USAQUEN,1090.0,Jugo de Mandarina,principal,0,1.0,10900.0,COL
46152.0,6.0,01 USAQUEN,1090.0,Jugo de mandarina natural 300 ml.,modifier,0,2.0,5800.0,COL
46152.0,6.0,01 USAQUEN,1348.0,Breakfast Burrito,principal,0,2.0,39800.0,COL
46152.0,6.0,01 USAQUEN,1613.0,Hash Browns,modifier,0,1.0,13500.0,COL
46152.0,6.0,01 USAQUEN,20.0,Tomate,modifier,0,2.0,0.0,COL
46152.0,6.0,01 USAQUEN,2193.0,Brunch Californiano,principal,0,2.0,125800.0,COL
46152.0,6.0,01 USAQUEN,3063.0,Mini Pancakes de Arándanos,principal,0,1.0,19900.0,COL
46152.0,6.0,01 USAQUEN,329.0,Agua con Gas,principal,0,2.0,15000.0,COL
46152.0,6.0,01 USAQUEN,3445.0,Egg & Bacon Pandewaffle,principal,0,2.0,69000.0,COL
46152.0,6.0,01 USAQUEN,3583.0,Sándwich Pollo BBQ 22cm,principal,0,1.0,26900.0,COL
46152.0,6.0,01 USAQUEN,3649.0,Cinnabon Clásico,principal,0,1.0,15500.0,COL
46152.0,6.0,01 USAQUEN,374.0,Limonada,principal,0,3.0,22500.0,COL
46152.0,6.0,01 USAQUEN,384.0,"Si, Cubiertos",modifier,1,2.0,0.0,COL
46152.0,6.0,01 USAQUEN,384.0,"Sí, Cubiertos",modifier,0,6.0,0.0,COL
46152.0,6.0,01 USAQUEN,389.0,Queso Mozzarella,modifier,0,2.0,0.0,COL
46152.0,6.0,01 USAQUEN,4800.0,Waffles De Yuca,principal,0,2.0,35800.0,COL
46152.0,6.0,01 USAQUEN,5003.0,Porción de Fruta,principal,0,1.0,9900.0,COL
46152.0,6.0,01 USAQUEN,5005.0,Yogurt Bowl,principal,0,1.0,22900.0,COL
46152.0,6.0,01 USAQUEN,5066.0,Brunch Personal,principal,0,1.0,34500.0,COL
46152.0,6.0,01 USAQUEN,5356.0,Huevos Revueltos,principal,0,1.0,17900.0,COL
46152.0,6.0,01 USAQUEN,5358.0,Italian Croissant,principal,0,1.0,33500.0,COL
46152.0,6.0,01 USAQUEN,5359.0,Egg Bacon & Cheese Croissant,principal,0,1.0,26900.0,COL
46152.0,6.0,01 USAQUEN,5396.0,Croissant Jamón Serrano,principal,0,1.0,33500.0,COL
46152.0,6.0,01 USAQUEN,5478.0,Breakfast Chorizo Burrito,principal,0,3.0,68700.0,COL
46152.0,6.0,01 USAQUEN,57.0,Egg Bacon & Cheese Croissant,principal,0,3.0,80700.0,COL
46152.0,6.0,01 USAQUEN,604.0,Jugo de Naranja,principal,0,1.0,10900.0,COL
46152.0,6.0,01 USAQUEN,62.0,Oatmeal Pancakes,principal,0,3.0,74700.0,COL
46152.0,6.0,01 USAQUEN,62.0,Pancakes De Avena,principal,0,1.0,24900.0,COL
46152.0,6.0,01 USAQUEN,63.0,Pancakes Clásicos,principal,0,2.0,51400.0,COL
46152.0,6.0,01 USAQUEN,6344.0,Brunch para mamá minibon,principal,1,2.0,105800.0,COL
46152.0,6.0,01 USAQUEN,6346.0,Brunch amor de mamá,principal,1,1.0,94900.0,COL
46152.0,6.0,01 USAQUEN,91.0,Salsa Verde,modifier,0,2.0,5800.0,COL
46152.0,6.0,02 PARQUE 93,1613.0,Hash Browns,principal,0,1.0,13500.0,COL
46152.0,6.0,02 PARQUE 93,3122.0,"Sí, cubiertos",modifier,0,1.0,0.0,COL
46152.0,6.0,02 PARQUE 93,3445.0,Sándwich Pandewaffle,principal,0,1.0,28900.0,COL
46152.0,6.0,02 PARQUE 93,3474.0,Falafel & Hummus,principal,0,1.0,15500.0,COL
46152.0,6.0,02 PARQUE 93,3523.0,Oreo Key Lime Jar,principal,0,1.0,12900.0,COL
46152.0,6.0,02 PARQUE 93,3807.0,Mini Pancakes Clásicos,principal,0,2.0,39000.0,COL
46152.0,6.0,02 PARQUE 93,384.0,"Si, Cubiertos",modifier,0,5.0,0.0,COL
46152.0,6.0,02 PARQUE 93,384.0,"Sí, Cubiertos",modifier,0,3.0,0.0,COL
46152.0,6.0,02 PARQUE 93,384.0,"Sí, cubiertos",modifier,0,1.0,0.0,COL
46152.0,6.0,02 PARQUE 93,5004.0,Açai Bowl,principal,0,3.0,77700.0,COL
46152.0,6.0,02 PARQUE 93,5066.0,Brunch Personal,principal,0,8.0,276000.0,COL
46152.0,6.0,02 PARQUE 93,5275.0,Hummus de garbanzo,modifier,0,1.0,0.0,COL
46152.0,6.0,02 PARQUE 93,5346.0,Calentado Sabanero,principal,0,1.0,34500.0,COL
46152.0,6.0,02 PARQUE 93,5355.0,Avocado Feta Toast,principal,0,3.0,65700.0,COL
46152.0,6.0,02 PARQUE 93,56.0,Arma tu Powerbowl,principal,0,2.0,47800.0,COL
46152.0,6.0,02 PARQUE 93,57.0,Croissant de Huevo y Tocineta,principal,0,2.0,53800.0,COL
46152.0,6.0,02 PARQUE 93,60.0,Muffin de Huevo y Tocineta,principal,0,4.0,103600.0,COL
46152.0,6.0,02 PARQUE 93,604.0,Jugo De Naranja,principal,0,1.0,10900.0,COL
46152.0,6.0,02 PARQUE 93,604.0,Jugo de Naranja,principal,0,2.0,21800.0,COL
46152.0,6.0,02 PARQUE 93,63.0,Classic Pancakes,principal,0,1.0,30500.0,COL
46152.0,6.0,02 PARQUE 93,63.0,Pancakes Clásicos,principal,0,1.0,30500.0,COL
46152.0,6.0,02 PARQUE 93,6342.0,Pancakes Tiramisú - NEW!,principal,0,1.0,24900.0,COL
46152.0,6.0,02 PARQUE 93,6346.0,Brunch amor de mamá,principal,1,2.0,189800.0,COL
46152.0,6.0,02 PARQUE 93,77.0,Granola,modifier,0,2.0,0.0,COL
46152.0,6.0,02 PARQUE 93,79.0,Arándanos,modifier,0,2.0,5800.0,COL
46152.0,6.0,02 PARQUE 93,80.0,Banano,modifier,0,2.0,0.0,COL
46152.0,6.0,02 PARQUE 93,807.0,Arma tu Bowl de Frutas,principal,0,2.0,37000.0,COL
46152.0,6.0,02 PARQUE 93,810.0,Piña,modifier,0,4.0,0.0,COL
46152.0,6.0,02 PARQUE 93,812.0,Papaya,modifier,0,4.0,0.0,COL
46152.0,6.0,02 PARQUE 93,82.0,Fresas,modifier,0,6.0,7600.0,COL
46152.0,6.0,02 PARQUE 93,83.0,Yogurt Griego,modifier,0,2.0,0.0,COL
46152.0,6.0,03 CHAPINERO,1090.0,Jugo de Mandarina,principal,0,5.0,54500.0,COL
46152.0,6.0,03 CHAPINERO,1613.0,Hash Browns,principal,0,1.0,13500.0,COL
46152.0,6.0,03 CHAPINERO,1613.0,Porción Hash Browns,principal,0,4.0,54000.0,COL
46152.0,6.0,03 CHAPINERO,3122.0,"Sí, Cubiertos",modifier,0,3.0,0.0,COL
46152.0,6.0,03 CHAPINERO,3445.0,Egg & Bacon Pandewaffle,principal,0,1.0,28900.0,COL
46152.0,6.0,03 CHAPINERO,3525.0,Oreo Tres Leches Jar,principal,0,1.0,12900.0,COL
46152.0,6.0,03 CHAPINERO,3538.0,Galleta Avena y Frutos Rojos,principal,0,1.0,10900.0,COL
46152.0,6.0,03 CHAPINERO,3649.0,Cinnabon Clásico,principal,0,1.0,15500.0,COL
