date,order_hour,country,city,kitchen_id,brand,provider,cooking_time,RTWT,time_waiting_RT,Total orders
10/05/2026,11,COL,Barranquilla,32 BARRANQUILLA,Almuerzos de la Casa,didi,12.54,0.9,47.24,1
10/05/2026,11,COL,Barranquilla,32 BARRANQUILLA,Almuerzos de la Casa,didi,19.58,8.75,0.25,1
10/05/2026,11,COL,Barranquilla,32 BARRANQUILLA,Almuerzos de la Casa,didi,10.15,2.62,41.28,1
10/05/2026,12,COL,Barranquilla,32 BARRANQUILLA,Almuerzos de la Casa,didi,2.01,0,2.94,1
10/05/2026,13,COL,Barranquilla,32 BARRANQUILLA,Almuerzos de la Casa,didi,8.26,3.58,0.08,1
10/05/2026,13,COL,Barranquilla,32 BARRANQUILLA,Almuerzos de la Casa,didi,10.91,5.9,11.98,1
10/05/2026,18,COL,Barranquilla,32 BARRANQUILLA,Avocalia,didi,10.66,6.55,1.06,1
10/05/2026,8,COL,Barranquilla,32 BARRANQUILLA,Brunch & Munch,didi,65.13,0.82,3.43,1
10/05/2026,9,COL,Barranquilla,32 BARRANQUILLA,Brunch & Munch,didi,23.28,13.75,3.68,1
10/05/2026,10,COL,Barranquilla,32 BARRANQUILLA,Brunch & Munch,didi,5.99,2.2,1.21,1
10/05/2026,11,COL,Barranquilla,32 BARRANQUILLA,Brunch & Munch,didi,23.81,7.25,0.37,1
10/05/2026,7,COL,Barranquilla,32 BARRANQUILLA,Burritos & Co,didi,89.1,20.02,2.05,1
10/05/2026,12,COL,Barranquilla,32 BARRANQUILLA,Burritos & Co,didi,11.87,8.6,2.28,1
10/05/2026,13,COL,Barranquilla,32 BARRANQUILLA,Burritos & Co,didi,6.81,4.03,2.2,1
10/05/2026,22,COL,Barranquilla,32 BARRANQUILLA,Burritos & Co,didi,12.07,0.28,0.09,1
10/05/2026,9,COL,Barranquilla,32 BARRANQUILLA,Cinnabon,didi,19.98,12.75,0.1,1
