Cocina,Protocolos activos,country
32 BARRANQUILLA,1.0,COL
28 PEREIRA,4.0,COL
11 MANILA,4.0,COL
14 ENVIGADO,6.0,COL
12 LAURELES,4.0,COL
45 VERAGUAS,3.0,COL
36 VILLA DEL PRADO,1.0,COL
06 COLINA,3.0,COL
42 CABECERA,1.0,COL
15 ENGATIVA,1.0,COL
38 KENNEDY,1.0,COL
02 PARQUE 93,1.0,COL
46 INGENIO,1.0,COL
24 SAN FERNANDO,4.0,COL
22 SANTA MONICA,3.0,COL
01 USAQUEN,3.0,COL
01 DOCTORES,3.0,MEX
41 VOLCANES,2.0,MEX
19 LA CALMA,2.0,MEX
05 COAPA,3.0,MEX
30 LINCOLN,2.0,MEX
17 CUMBRES,2.0,MEX
10 SAN JERONIMO,1.0,MEX
31 MONTEJO,3.0,MEX
