order_received_at_local,order_id,provider_order_id,provider_name,country,kitchen,brand,rating,comments,complaint,rating_tag,reason,reason_category,reason_area,# In Full,is infull
11.0,KHaFoxsABwKFEcX4j,5764669954574057765,didi,MEX,San Nicolás,Foodhub,2.0,"yo no sé quién le puso que sin topings pero si no tienen ganas de elaborar un buen producto namas diga ,",1,Productos faltantes,ORDER_ACCURACY|ORDER_COMPLETENESS,MISSING_ITEM,PASE,0.0,1
19.0,XCT25naq5WaAxaEEz,2.440166708E9,rappi,MEX,Coapa,LA PANQUEQUERIA,,"Vienen helados los hotcakes. El tiempo de espera fue excesivo ,",1,BAD_QUALITY|OUT_TIME,,DAMAGE_ITEM|DELIVERY_LATE|WRONG_TEMPERATURE,DELIVERY|QUALITY,0.0,1
13.0,mg3YT5T8kuLBGFnJp,2.439975642E9,rappi,MEX,Del Valle,Brunch & Munch,,"viene todo destrozado y no tiene nada que ver con la imagen con el producto,",1,BAD_PACKAGING|BAD_QUALITY,,BAD_PRESENTATION|DAMAGE_PACKAGING,DELIVERY,0.0,1
11.0,EqvM9o3tN5aeL6jP7,2.43991331E9,rappi,MEX,Santa Fe,Órale Desayunos,,"Viene todo batido , y con la bolsa rota,",1,BAD_PACKAGING|BAD_QUALITY,,DAMAGE_ITEM|DAMAGE_PACKAGING,DELIVERY|QUALITY,0.0,1
11.0,eN6wX9cQYNHvpsHhB,2.439914342E9,rappi,MEX,Saltillo Centro,Órale Chilaquiles,,"Tuve que poner yo la nota arruinando la sorpresa,",1,"ORDER_ACCURACY, ORDER_ACCURACY|ORDER_COMPLETENESS",,"MISSING_ITEM, MISSING_ITEM","PASE, PASE",0.0,1
10.0,RcJTnXw6bohcr8vxH,f1d48086-9768-4062-94c9-039e582a62ca,ubereats,MEX,Manacar,Órale Desayunos,1.0,"Trajeron la salsa verde que no pedí taché para el lugar sé que dice divorciados pero no hay otra opción para solo pedir salsa roja ,",1,restaurant_missed_request,ORDER_ACCURACY,WRONG_ITEM,PASE,0.0,1
8.0,4WfY3FX3WvzkpMptJ,ef0adcbc-40ae-41f3-9d25-b197dfeff42e,ubereats,MEX,Doctores,Órale Desayunos,4.0,"Todo bien solo les falta un poco más de aguacate más crema para los chilaquiles porque casi no traían,",0,restaurant_perfectly_cooked|restaurant_creative_options|restaurant_classic|restaurant_fast_casual,HIGH_FOOD_QUALITY|VARIETY_MENU_OPTIONS,1.0,,,0
14.0,6Aun2oXjgge9AG39d,2.440007947E9,rappi,MEX,San Jerónimo,Brunch & Munch,,"The product seems not fresh and has less product than advertised,",1,"BAD_QUALITY|ORDER_ACCURACY, BAD_QUALITY|ORDER_ACCURACY",,"DAMAGE_ITEM|MISSING_ITEM, DAMAGE_ITEM|MISSING_ITEM","QUALITY|PASE, QUALITY|PASE",0.0,1
20.0,hYgRNXMaYEfKY3XJr,2.440173938E9,rappi,MEX,Coapa,Mr Beast Burger,,"tardó mucho y por lo mismo ya esta todo remojado y chicloso el pan, además de estar muy frío, muy mala experiencia ,",1,BAD_QUALITY|OUT_TIME,,DAMAGE_ITEM|DELIVERY_LATE|NOT_TASTY|WRONG_TEMPERATURE,DELIVERY|QUALITY,0.0,1
20.0,FcWFESxgvHGMftWZG,eed0e888-cc37-4f87-b281-f86a3ac5efc7,ubereats,MEX,Tabachines,Honest Food,1.0,"Súper frío llego y muy chiquito ,",1,restaurant_too_slow|restaurant_not_worth_price,BAD_QUALITY|NOT_WORTH_PRICE|OUT_TIME,DELIVERY_LATE|SMALL_PORTIONS|WRONG_TEMPERATURE,DELIVERY|PRICING,0.0,1
