sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
La Calma,MEX,,19 LA CALMA,1507,Mezcla Pancakes Tradicionales Liquida,Mezcla Pancakes Tradicionales Liquida,Día de la Madre,23920
La Calma,MEX,,19 LA CALMA,1505,Mezcla Pancakes Avena Liquida,Mezcla Pancakes Avena Liquida,Día de la Madre,8370
La Calma,MEX,,19 LA CALMA,5444,Chilaquiles verdes toppings default,Chilaquiles verdes toppings default,Día de la Madre,18
La Calma,MEX,,19 LA CALMA,5809,Pancakes Tradicionales Nuevos,Pancakes Tradicionales Nuevos,Día de la Madre,25
La Calma,MEX,,19 LA CALMA,2189,Tarjeta Dia de las Madres.🌷,Tarjeta Dia de las Madres.🌷,Día de la Madre,28
La Calma,MEX,,19 LA CALMA,6403,Pancakes de Cajeta y Plátano. 🆕,Pancakes de Cajeta y Plátano. 🆕,Día de la Madre,21
La Calma,MEX,,19 LA CALMA,6218,Croissant de Frutos Rojos,Croissant de Frutos Rojos,Día de la Madre,4
La Calma,MEX,,19 LA CALMA,1288,Chorizo Insumo,Chorizo Insumo,Día de la Madre,880
La Calma,MEX,,19 LA CALMA,1471,Frijol Refrito,Frijol Refrito,Día de la Madre,2640
La Calma,MEX,,19 LA CALMA,1532,Arroz Blanco Cocido,Arroz Blanco Cocido,Día de la Madre,4440
La Calma,MEX,,19 LA CALMA,6204,Salsa Verde UND 🆕,Salsa Verde UND 🆕,Día de la Madre,124
La Calma,MEX,,19 LA CALMA,6205,Salsa Roja UND 🆕,Salsa Roja UND 🆕,Día de la Madre,110
La Calma,MEX,,19 LA CALMA,1434,Tocineta,Tocineta,Día de la Madre,546
La Calma,MEX,,19 LA CALMA,1245,Almendra Fileteada Insumo,Almendra Fileteada Insumo,Día de la Madre,960
La Calma,MEX,,19 LA CALMA,1304,Croissant Grande,Croissant Grande,Día de la Madre,7
La Calma,MEX,,19 LA CALMA,1430,Tapa Bowl Kraft Chico,Tapa Bowl Kraft Chico,Día de la Madre,80
La Calma,MEX,,19 LA CALMA,1266,Bowl Kraft Chico,Bowl Kraft Chico,Día de la Madre,80
La Calma,MEX,,19 LA CALMA,1431,Tapa Bowl Kraft Grande,Tapa Bowl Kraft Grande,Día de la Madre,195
La Calma,MEX,,19 LA CALMA,1267,Bowl Kraft Grande,Bowl Kraft Grande,Día de la Madre,195
La Calma,MEX,,19 LA CALMA,1395,Porta Hamburguesa,Porta Hamburguesa,Día de la Madre,25
La Calma,MEX,,19 LA CALMA,1271,Caja Lounch,Caja Lounch,Día de la Madre,13
La Calma,MEX,,19 LA CALMA,1419,servilletas,servilletas,Día de la Madre,464
La Calma,MEX,,19 LA CALMA,1669,Bowl Sopa,Bowl Sopa,Día de la Madre,41
La Calma,MEX,,19 LA CALMA,1670,Tapa Bowl Sopa,Tapa Bowl Sopa,Día de la Madre,41
La Calma,MEX,,19 LA CALMA,1311,Espinaca,Espinaca,Día de la Madre,670
La Calma,MEX,,19 LA CALMA,2381,Jitomate Saladed,Jitomate Saladed,Día de la Madre,3920
La Calma,MEX,,19 LA CALMA,1289,Cilantro Insumo,Cilantro Insumo,Día de la Madre,136
La Calma,MEX,,19 LA CALMA,1276,Cebolla Blanca Insumo,Cebolla Blanca Insumo,Día de la Madre,3780
La Calma,MEX,,19 LA CALMA,1249,Arandano fresco Insumo,Arandano fresco Insumo,Día de la Madre,720
La Calma,MEX,,19 LA CALMA,1257,Banano Criollo Insumo,Banano Criollo Insumo,Día de la Madre,1728
La Calma,MEX,,19 LA CALMA,1312,Fresa Insumo,Fresa Insumo,Día de la Madre,2035
La Calma,MEX,,19 LA CALMA,1391,Pina Miel Insumo,Pina Miel Insumo,Día de la Madre,910
La Calma,MEX,,19 LA CALMA,1374,Papaya Maradol Insumo,Papaya Maradol Insumo,Día de la Madre,910
La Calma,MEX,,19 LA CALMA,5319,Frosting Queso Crema y Yogurt,Frosting Queso Crema y Yogurt,Día de la Madre,800
La Calma,MEX,,19 LA CALMA,1303,Crema acida,Crema acida,Día de la Madre,2730
La Calma,MEX,,19 LA CALMA,5392,"Salsa ""Del Barça""","Salsa ""Del Barça""",Día de la Madre,630
La Calma,MEX,,19 LA CALMA,3055,Salsa Burger con Jalapeño,Salsa Burger con Jalapeño,Día de la Madre,740
La Calma,MEX,,19 LA CALMA,1362,Miel de maple,Miel de maple,Día de la Madre,7350
La Calma,MEX,,19 LA CALMA,1836,Arrachera insumo,Arrachera insumo,Día de la Madre,4620
La Calma,MEX,,19 LA CALMA,1491,Totopos,Totopos,Día de la Madre,17500
La Calma,MEX,,19 LA CALMA,1511,Salsa Frutos Rojos,Salsa Frutos Rojos,Día de la Madre,200
La Calma,MEX,,19 LA CALMA,1039,Jugo de Naranja,Jugo de Naranja,Día de la Madre,70
La Calma,MEX,,19 LA CALMA,1117,Porcion de Fruta,Porcion de Fruta,Día de la Madre,7
La Calma,MEX,,19 LA CALMA,1493,Guacamole,Guacamole,Día de la Madre,2600
La Calma,MEX,,19 LA CALMA,3058,Mezcla mantequilla y aceite,Mezcla mantequilla y aceite,Día de la Madre,640
La Calma,MEX,,19 LA CALMA,1503,Avena Preparada,Avena Preparada,Día de la Madre,1620
La Calma,MEX,,19 LA CALMA,1516,Pico de Gallo Produccion,Pico de Gallo Produccion,Día de la Madre,560
La Calma,MEX,,19 LA CALMA,1515,Yogurt Griego Preparado,Yogurt Griego Preparado,Día de la Madre,720
La Calma,MEX,,19 LA CALMA,1504,Granola Produccion,Granola Produccion,Día de la Madre,140
La Calma,MEX,,19 LA CALMA,1401,Queso Mozzarella,Queso Mozzarella,Día de la Madre,4440
La Calma,MEX,,19 LA CALMA,2738,Queso Panela,Queso Panela,Día de la Madre,1012
La Calma,MEX,,19 LA CALMA,2540,Pan de Papa Fasfu 100 gr,Pan de Papa Fasfu 100 gr,Día de la Madre,18
La Calma,MEX,,19 LA CALMA,1272,Cajeta Insumo,Cajeta Insumo,Día de la Madre,960
La Calma,MEX,,19 LA CALMA,1327,Jamon De Cerdo Insumo,Jamon De Cerdo Insumo,Día de la Madre,380
La Calma,MEX,,19 LA CALMA,1321,Hashbrown McCain,Hashbrown McCain,Día de la Madre,1170
La Calma,MEX,,19 LA CALMA,2187,Tarjeta Especial Insumo,Tarjeta Especial Insumo,Día de la Madre,28
La Calma,MEX,,19 LA CALMA,1418,Semillas de chia Insumo,Semillas de chia Insumo,Día de la Madre,15
Jardines,MEX,,14 JARDINES,1507,Mezcla Pancakes Tradicionales Liquida,Mezcla Pancakes Tradicionales Liquida,Día de la Madre,10660
Jardines,MEX,,14 JARDINES,1505,Mezcla Pancakes Avena Liquida,Mezcla Pancakes Avena Liquida,Día de la Madre,4590
Jardines,MEX,,14 JARDINES,5444,Chilaquiles verdes toppings default,Chilaquiles verdes toppings default,Día de la Madre,9
