day,week_day_name,country,city,brand,kitchen,provider,orders,gmv_nac,gmv_usd
46146.0,7.Sunday,COL,Barranquilla,01 AVOCALIA,32 BARRANQUILLA,DiDi,2.0,84100.0,21.03
46146.0,7.Sunday,COL,Barranquilla,01 AVOCALIA,32 BARRANQUILLA,Rappi,49.0,2356300.0,589.08
46146.0,7.Sunday,COL,Barranquilla,02 BOTTANIKO,32 BARRANQUILLA,DiDi,1.0,12900.0,3.23
46146.0,7.Sunday,COL,Barranquilla,02 BOTTANIKO,32 BARRANQUILLA,Rappi,1.0,61000.0,15.25
46146.0,7.Sunday,COL,Barranquilla,03 BRUNCH & MUNCH,32 BARRANQUILLA,DiDi,2.0,82600.0,20.65
46146.0,7.Sunday,COL,Barranquilla,03 BRUNCH & MUNCH,32 BARRANQUILLA,Rappi,29.0,1854700.0,463.68
46146.0,7.Sunday,COL,Barranquilla,04 BURRITOS & CO,32 BARRANQUILLA,DiDi,4.0,102500.0,25.63
46146.0,7.Sunday,COL,Barranquilla,04 BURRITOS & CO,32 BARRANQUILLA,Rappi,11.0,439500.0,109.88
46146.0,7.Sunday,COL,Barranquilla,05 CACEROLA,32 BARRANQUILLA,DiDi,1.0,12900.0,3.23
46146.0,7.Sunday,COL,Barranquilla,07 LA CUADRA,32 BARRANQUILLA,DiDi,8.0,397000.0,99.25
46146.0,7.Sunday,COL,Barranquilla,07 LA CUADRA,32 BARRANQUILLA,Rappi,29.0,1795300.0,448.83
46146.0,7.Sunday,COL,Barranquilla,110 MR BEAST BURGER,32 BARRANQUILLA,DiDi,18.0,904000.0,226.0
46146.0,7.Sunday,COL,Barranquilla,110 MR BEAST BURGER,32 BARRANQUILLA,Rappi,7.0,374900.0,93.73
46146.0,7.Sunday,COL,Barranquilla,117 LA PANQUEQUERIA,32 BARRANQUILLA,Rappi,7.0,316600.0,79.15
46146.0,7.Sunday,COL,Barranquilla,26 ALMUERZO DE LA CA,32 BARRANQUILLA,DiDi,3.0,87000.0,21.75
46146.0,7.Sunday,COL,Barranquilla,26 ALMUERZO DE LA CA,32 BARRANQUILLA,Rappi,2.0,51700.0,12.93
46146.0,7.Sunday,COL,Barranquilla,33 LA CUADRA DESAYUN,32 BARRANQUILLA,Rappi,1.0,24500.0,6.13
46146.0,7.Sunday,COL,Barranquilla,35 BRUNCH CLUB,32 BARRANQUILLA,DiDi,2.0,85500.0,21.38
46146.0,7.Sunday,COL,Barranquilla,352 BURRITOS & CO TU,32 BARRANQUILLA,Rappi,2.0,136700.0,34.18
46146.0,7.Sunday,COL,Barranquilla,353 LA CUADRA TURBO,32 BARRANQUILLA,Rappi,2.0,82300.0,20.58
46146.0,7.Sunday,COL,Barranquilla,359 GREEN HOUSE,32 BARRANQUILLA,DiDi,4.0,115000.0,28.75
46146.0,7.Sunday,COL,Barranquilla,359 GREEN HOUSE,32 BARRANQUILLA,Rappi,36.0,1529500.0,382.38
46146.0,7.Sunday,COL,Barranquilla,362 ÑAMGUCHERIA,32 BARRANQUILLA,DiDi,2.0,80000.0,20.0
46146.0,7.Sunday,COL,Barranquilla,362 ÑAMGUCHERIA,32 BARRANQUILLA,Rappi,11.0,615600.0,153.9
46146.0,7.Sunday,COL,Barranquilla,366 HOUSE OF SALADS,32 BARRANQUILLA,DiDi,3.0,110200.0,27.55
46146.0,7.Sunday,COL,Barranquilla,366 HOUSE OF SALADS,32 BARRANQUILLA,Rappi,4.0,135800.0,33.95
46146.0,7.Sunday,COL,Barranquilla,370 MONTEVERDE,32 BARRANQUILLA,Rappi,1.0,38900.0,9.73
46146.0,7.Sunday,COL,Barranquilla,380 BREAKFAST CLUB,32 BARRANQUILLA,DiDi,1.0,52400.0,13.1
46146.0,7.Sunday,COL,Barranquilla,380 BREAKFAST CLUB,32 BARRANQUILLA,Rappi,16.0,691800.0,172.95
46146.0,7.Sunday,COL,Barranquilla,381 DESAYU LA ABUELA,32 BARRANQUILLA,DiDi,7.0,324700.0,81.18
46146.0,7.Sunday,COL,Barranquilla,381 DESAYU LA ABUELA,32 BARRANQUILLA,Rappi,24.0,1448000.0,362.0
46146.0,7.Sunday,COL,Barranquilla,382 ALBA VEGE TURBO,32 BARRANQUILLA,Rappi,1.0,64900.0,16.23
46146.0,7.Sunday,COL,Barranquilla,386 LA CASA MEXICANA,32 BARRANQUILLA,DiDi,3.0,146200.0,36.55
46146.0,7.Sunday,COL,Barranquilla,386 LA CASA MEXICANA,32 BARRANQUILLA,Rappi,4.0,230500.0,57.63
46146.0,7.Sunday,COL,Barranquilla,387 THE EGG SPOT,32 BARRANQUILLA,DiDi,1.0,16500.0,4.13
46146.0,7.Sunday,COL,Barranquilla,387 THE EGG SPOT,32 BARRANQUILLA,Rappi,3.0,172900.0,43.23
46146.0,7.Sunday,COL,Barranquilla,388 FOODHUB,32 BARRANQUILLA,Rappi,1.0,57600.0,14.4
46146.0,7.Sunday,COL,Barranquilla,392 HONEST FOOD,32 BARRANQUILLA,Rappi,2.0,75000.0,18.75
46146.0,7.Sunday,COL,Barranquilla,392 MONTEVERDE TURB,32 BARRANQUILLA,Rappi,2.0,54400.0,13.6
46146.0,7.Sunday,COL,Barranquilla,393 EL EJECUTIVO,32 BARRANQUILLA,DiDi,1.0,37900.0,9.48
46146.0,7.Sunday,COL,Barranquilla,394 COCINA CONSCIENT,32 BARRANQUILLA,Rappi,1.0,56800.0,14.2
46146.0,7.Sunday,COL,Barranquilla,403 HONEST FOOD TURBO,32 BARRANQUILLA,Rappi,4.0,130000.0,32.5
46146.0,7.Sunday,COL,Barranquilla,405 BREAKFACLUB TURBO,32 BARRANQUILLA,Rappi,2.0,72400.0,18.1
46146.0,7.Sunday,COL,Barranquilla,420 DESGRANADOS & CO,32 BARRANQUILLA,Rappi,5.0,236800.0,59.2
46146.0,7.Sunday,COL,Barranquilla,423 DESAY TIERRITURB,32 BARRANQUILLA,Rappi,1.0,25900.0,6.48
46146.0,7.Sunday,COL,Barranquilla,429 SEÑOR BURRI TURB,32 BARRANQUILLA,Rappi,2.0,128100.0,32.03
46146.0,7.Sunday,COL,Barranquilla,44 SELVATIKO,32 BARRANQUILLA,DiDi,1.0,21900.0,5.48
46146.0,7.Sunday,COL,Barranquilla,448 DESAY COLOMBIANO,32 BARRANQUILLA,Rappi,1.0,31800.0,7.95
46146.0,7.Sunday,COL,Barranquilla,54 FOODOLOGY,32 BARRANQUILLA,Rappi,2.0,74700.0,18.68
46146.0,7.Sunday,COL,Barranquilla,57 PRET SANDWICH BIS,32 BARRANQUILLA,Rappi,3.0,89800.0,22.45
46146.0,7.Sunday,COL,Barranquilla,58 ALBA VEGETARIAN,32 BARRANQUILLA,DiDi,1.0,90900.0,22.73
46146.0,7.Sunday,COL,Barranquilla,58 ALBA VEGETARIAN,32 BARRANQUILLA,Rappi,4.0,116900.0,29.23
46146.0,7.Sunday,COL,Barranquilla,59 DEMBOW,32 BARRANQUILLA,Rappi,1.0,12900.0,3.23
46146.0,7.Sunday,COL,Barranquilla,66 MAÑANERO DIARIO,32 BARRANQUILLA,Rappi,3.0,209500.0,52.38
46146.0,7.Sunday,COL,Barranquilla,72 VICIO,32 BARRANQUILLA,Rappi,1.0,65500.0,16.38
46146.0,7.Sunday,COL,Barranquilla,82 CINNABON,32 BARRANQUILLA,DiDi,3.0,62300.0,15.58
46146.0,7.Sunday,COL,Barranquilla,82 CINNABON,32 BARRANQUILLA,Rappi,14.0,351800.0,87.95
46146.0,7.Sunday,COL,Barranquilla,83 SANDUCHES EL JEFE,32 BARRANQUILLA,DiDi,1.0,24400.0,6.1
46146.0,7.Sunday,COL,Barranquilla,83 SANDUCHES EL JEFE,32 BARRANQUILLA,Rappi,4.0,214400.0,53.6
46146.0,7.Sunday,COL,Barranquilla,88 CINNABON TURBO,32 BARRANQUILLA,Rappi,2.0,64700.0,16.18
46146.0,7.Sunday,COL,Barranquilla,93 SAN JERONIMO TURB,32 BARRANQUILLA,Rappi,2.0,57500.0,14.38
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,01 USAQUEN,DiDi,2.0,163700.0,40.93
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,01 USAQUEN,Rappi,27.0,1366500.0,341.63
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,02 PARQUE 93,DiDi,1.0,66800.0,16.7
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,02 PARQUE 93,Rappi,29.0,1405000.0,351.25
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,03 CHAPINERO,FoodologyPOS,1.0,39800.0,9.95
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,03 CHAPINERO,Rappi,34.0,1862600.0,465.65
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,06 COLINA,Rappi,34.0,1750900.0,437.73
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,08 ANDES,Rappi,16.0,731600.0,182.9
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,13 CHIA,Rappi,10.0,379400.0,94.85
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,15 ENGATIVA,Rappi,17.0,854300.0,213.58
46146.0,7.Sunday,COL,Bogotá,01 AVOCALIA,36 VILLA DEL PRADO,Rappi,13.0,920700.0,230.18
