order_day,order_hour,kitchen_id,sku,name,item_type,is_combo,total_units,total_price_gross
2026-05-10,6,01 USAQUEN,1071,Salsa de Habanero (Picante),modifier,FALSE,2,5800
2026-05-10,6,01 USAQUEN,1090,Jugo De Mandarina,principal,FALSE,1,10900
2026-05-10,6,01 USAQUEN,1090,Jugo de Mandarina,principal,FALSE,1,10900
2026-05-10,6,01 USAQUEN,1090,Jugo de mandarina natural 300 ml.,modifier,FALSE,2,5800
2026-05-10,6,01 USAQUEN,1348,Breakfast Burrito,principal,FALSE,2,39800
2026-05-10,6,01 USAQUEN,1613,Hash Browns,modifier,FALSE,1,13500
2026-05-10,6,01 USAQUEN,20,Tomate,modifier,FALSE,2,0
2026-05-10,6,01 USAQUEN,2193,Brunch Californiano,principal,FALSE,2,125800
2026-05-10,6,01 USAQUEN,3063,Mini Pancakes de Arándanos,principal,FALSE,1,19900
2026-05-10,6,01 USAQUEN,329,Agua con Gas,principal,FALSE,2,15000
2026-05-10,6,01 USAQUEN,3445,Egg & Bacon Pandewaffle,principal,FALSE,2,69000
2026-05-10,6,01 USAQUEN,3583,Sándwich Pollo BBQ 22cm,principal,FALSE,1,26900
2026-05-10,6,01 USAQUEN,3649,Cinnabon Clásico,principal,FALSE,1,15500
2026-05-10,6,01 USAQUEN,374,Limonada,principal,FALSE,3,22500
2026-05-10,6,01 USAQUEN,384,"Si, Cubiertos",modifier,TRUE,2,0
2026-05-10,6,01 USAQUEN,384,"Sí, Cubiertos",modifier,FALSE,6,0
2026-05-10,6,01 USAQUEN,389,Queso Mozzarella,modifier,FALSE,2,0
2026-05-10,6,01 USAQUEN,4800,Waffles De Yuca,principal,FALSE,2,35800
2026-05-10,6,01 USAQUEN,5003,Porción de Fruta,principal,FALSE,1,9900
2026-05-10,6,01 USAQUEN,5005,Yogurt Bowl,principal,FALSE,1,22900
2026-05-10,6,01 USAQUEN,5066,Brunch Personal,principal,FALSE,1,34500
2026-05-10,6,01 USAQUEN,5356,Huevos Revueltos,principal,FALSE,1,17900
2026-05-10,6,01 USAQUEN,5358,Italian Croissant,principal,FALSE,1,33500
2026-05-10,6,01 USAQUEN,5359,Egg Bacon & Cheese Croissant,principal,FALSE,1,26900
2026-05-10,6,01 USAQUEN,5396,Croissant Jamón Serrano,principal,FALSE,1,33500
2026-05-10,6,01 USAQUEN,5478,Breakfast Chorizo Burrito,principal,FALSE,3,68700
2026-05-10,6,01 USAQUEN,57,Egg Bacon & Cheese Croissant,principal,FALSE,3,80700
2026-05-10,6,01 USAQUEN,604,Jugo de Naranja,principal,FALSE,1,10900
2026-05-10,6,01 USAQUEN,62,Oatmeal Pancakes,principal,FALSE,3,74700
2026-05-10,6,01 USAQUEN,62,Pancakes De Avena,principal,FALSE,1,24900
2026-05-10,6,01 USAQUEN,63,Pancakes Clásicos,principal,FALSE,2,51400
2026-05-10,6,01 USAQUEN,6344,Brunch para mamá minibon,principal,TRUE,2,105800
2026-05-10,6,01 USAQUEN,6346,Brunch amor de mamá,principal,TRUE,1,94900
2026-05-10,6,01 USAQUEN,91,Salsa Verde,modifier,FALSE,2,5800
2026-05-10,6,02 PARQUE 93,1613,Hash Browns,principal,FALSE,1,13500
