País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,15 ENGATIVA,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
,Desayuno,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0.4369747899
,Estacion,Categoria,SKU,Nombre,Unit,Clasificacion Item,Día,Presentacion,Indicación Quality,Consumo Diario,0.2916666666666667,0.4583333333333333,0.625,0.2916666666666667,0.4583333333333333,0.625,Check 
,Porcionar,ABARROTES,1904,Papas pre Fritas,UN,,Viernes,Porción más común 180UN,,10354.61538,540,3780,6480,10800,1,,
,Surtir,ABARROTES,287,Guacamole,G,Sábado,,Porción más común 25G,y tener descongelado,846.1538462,150,425,325,1100.0,1,,
,"Lavar, desinfectar y procesar",ABARROTES,5270,Mix de lechugas,G,Sábado,,Porción más común 50G,304.6153846,,50,200,150,500.0,1,,
Madre,Porcionar,ABARROTES,246,Syrup,G,Viernes,,Porción más común 40G,1418.461538,,2360,280,280,3000.0,0,,
,Cocinar,ABARROTES,127,Almendra Fileteada,UN,Viernes,,Porción más común 15UN,dorar,94.61538462,45,90,75,210.0,0,,
,Surtir,ABARROTES,1726,pepinillo en conserva,UN,Viernes,,Porción más común 10UN,Rodajas,166.7692308,10,110,230,350.0,1,,
,Descongelar,ABARROTES,3510,Jar de Oreo PROD,UN,Postres,Sábado,Porción más común 1UN,1.076923077,,1,1,1,3.0,1,,
,Descongelar,ABARROTES,3511,Jar de Limon PROD,UN,Postres,Sábado,Porción más común 1UN,1.615384615,,1,1,1,3.0,1,,
,Descongelar,ABARROTES,3512,Jar de Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,0.4615384615,,1,1,1,3.0,1,,
,Descongelar,ABARROTES,3513,Jar 3 Leches PROD,UN,Postres,Sábado,Porción más común 1UN,0.8461538462,,1,1,1,3.0,1,,
,Descongelar,ABARROTES,3514,Jar de Tiramisu PROD,UN,Postres,Sábado,Porción más común 1UN,1,,1,1,1,3.0,1,,
,Asegurar existencia,ABARROTES,286,Granola,G,Viernes,,Porción más común 35G,123.8461538,,105,35,35,400.0,1,,
