País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,11 MANILA,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
Desayuno,,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0.1363636364
Estacion,,Categoria,SKU,Nombre,Unit,Clasificacion Item,Día,Presentacion,Indicación Quality,Consumo Diario,0.2916666666666667,0.4583333333333333,0.625,0.2916666666666667,0.4583333333333333,0.625,Check 
,Porcionar,ABARROTES,1904,Papas pre Fritas,UN,,Viernes,Porción más común 180UN,,7366.433566,540,2700,4320,7560,0,,
,Surtir,ABARROTES,287,Guacamole,G,Sábado,,Porción más común 25G,y tener descongelado,3899.615385,450,1875,1600,4000.0,0,,
,"Lavar, desinfectar y procesar",ABARROTES,5270,Mix de lechugas,G,Sábado,,Porción más común 50G,1302.517483,,50,700,650,1500.0,0,,
Madre,Porcionar,ABARROTES,246,Syrup,G,Viernes,,Porción más común 40G,4452.307692,,6600,1680,680,9000.0,0,,
,Cocinar,ABARROTES,127,Almendra Fileteada,UN,Viernes,,Porción más común 15UN,dorar,281.5384615,150,240,180,570.0,0,,
,Surtir,ABARROTES,1726,pepinillo en conserva,UN,Viernes,,Porción más común 10UN,Rodajas,90.76923077,20,70,110,200.0,0,,
,Descongelar,ABARROTES,3510,Jar de Oreo PROD,UN,Postres,Sábado,Porción más común 1UN,4.461538462,,1,2,3,6.0,0,,
,Descongelar,ABARROTES,3511,Jar de Limon PROD,UN,Postres,Sábado,Porción más común 1UN,1.384615385,,1,1,1,3.0,0,,
,Descongelar,ABARROTES,3512,Jar de Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,1.769230769,,1,1,2,4.0,0,,
,Descongelar,ABARROTES,3513,Jar 3 Leches PROD,UN,Postres,Sábado,Porción más común 1UN,4.923076923,,1,2,4,7.0,0,,
,Descongelar,ABARROTES,3514,Jar de Tiramisu PROD,UN,Postres,Sábado,Porción más común 1UN,3,,1,1,2,4.0,0,,
,Asegurar existencia,ABARROTES,286,Granola,G,Viernes,,Porción más común 35G,565.3846154,,385,140,105,800.0,0,,
Madre,Asegurar existencia,BEBIDAS,180,Jugo de Naranja Bolsa Lt,ML,Bebidas,Viernes,Porción más común 300ML,asegurar existencia,36761.53846,26100,7500,3300,36900.0,0,,
,Asegurar existencia,BEBIDAS,179,Jugo de Mandarina Bolsa Lt,ML,Bebidas,Viernes,Porción más común 300ML,4938.461538,,2700,1500,1200,5400.0,0,,
Madre,Surtir,CARNICOS,175,Jamon De Cerdo,UN,Sábado,,Porción más común 60UN,6715.769231,,1680,2280,2820,6780.0,1,,
,Producción,CARNICOS,150,Chorizo Santarrosano,UN,Sábado,,Porción más común 80UN,picar,1798.461538,560,800,560,1920.0,0,,
,Porcionar,CARNICOS,5594,Res desmechada.,G,Viernes,,Porción más común 80G,1453.986014,,160,480,880,1600.0,0,,
Madre,Asegurar existencia,EMPAQUES,2573,Tapa bowl kraft mini,UN,Viernes,,Porción más común 1UN,68.23076923,,52,14,4,70.0,0,,
Madre,Asegurar existencia,EMPAQUES,3116,Tapa Botella 300ml,UN,Viernes,,Porción más común 1UN,180.2307692,,74,58,50,182.0,0,,
Madre,Asegurar existencia,EMPAQUES,441,Botella 300 ml,UN,Viernes,,Porción más común 1UN,180.2307692,,74,58,50,182.0,0,,
Madre,Asegurar existencia,EMPAQUES,459,Porta hamburguesa,UN,Viernes,,Porción más común 1UN,58.69230769,,44,11,5,60.0,0,,
Madre,Asegurar existencia,EMPAQUES,545,Bowl Mini,UN,Viernes,,Porción más común 1UN,68.23076923,,52,14,4,70.0,0,,
Madre,Armar,EMPAQUES,2600,Caja B&M,UN,Viernes,,Porción más común 1UN,50.53846154,,42,9,0,51.0,0,,
